"Reporting starts","Reporting ends","Ad name","Date created","Attribution setting","Amount spent (USD)","Cost per results","Result indicator",Purchases,"Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (USD)","CPC (cost per link click) (USD)","Unique CTR (link click-through rate)",Reach,Impressions,Hook,Hold
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",23.81,,,,,4.287772,0.340143,1.278725,5396,5553,0.25589771,0.03439582
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",69.5,23.166666666667,actions:offsite_conversion.fb_pixel_purchase,3,2.516978,9.199206,0.463333,2.353149,5652,7555,0.28418266,0.04315023
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",45.4,45.4,actions:offsite_conversion.fb_pixel_purchase,1,1.211233,4.375482,0.405357,1.171789,9046,10376,0.24865073,0.03112953
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",19.24,,,,,5.758755,0.356296,1.627543,3195,3341,0.2972164,0.04489674
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",23.66,,,,,4.621094,0.463922,1.01688,4917,5120,0.24980469,0.03183594
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",18.95,,,,,3.419343,0.394792,0.879765,5456,5542,0.29177192,0.02887044
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",55.14,27.57,actions:offsite_conversion.fb_pixel_purchase,2,2.084875,6.401207,0.463361,1.52763,7528,8614,0.26828419,0.03540748
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",55.36,13.84,actions:offsite_conversion.fb_pixel_purchase,4,7.168353,3.943582,0.395429,1.103647,12504,14038,0.23970651,0.02813791
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",70.09,8.76125,actions:offsite_conversion.fb_pixel_purchase,8,6.844914,2.835356,0.376828,0.797967,22432,24720,0.2210356,0.02443366
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",140,70,actions:offsite_conversion.fb_pixel_purchase,2,0.856714,3.57983,0.289256,1.330265,35632,39108,0.09450752,0.03065869
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.16,,,,,2.678984,0.165714,1.647059,425,433,0.06928406,0.01154734
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.61,,,,,2.57384,0.61,0.42735,234,237,0.08016878,0.00843882
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",607.37,24.2948,actions:offsite_conversion.fb_pixel_purchase,25,2.598531,3.751977,0.306908,1.371326,140448,161880,0.09031999,0.02985545
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",1323.63,28.774565217391,actions:offsite_conversion.fb_pixel_purchase,46,2.387865,4.102002,0.386913,1.742613,186272,322679,0.08211876,0.02550522
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",154.32,17.146666666667,actions:offsite_conversion.fb_pixel_purchase,9,3.769635,2.860267,0.229302,1.34581,49264,53953,0.09413749,0.03065631
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",45.82,45.82,actions:offsite_conversion.fb_pixel_purchase,1,1.200131,2.973394,0.225714,1.409827,14328,15410,0.09227774,0.03069435
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",21.99,,,,,3,0.249886,1.311426,6634,7330,0.08608458,0.02946794
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.13,,,,,2.54902,0.13,2,50,51,0.1372549,0.01960784
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.34,,,,,2.207792,0.34,0.649351,154,154,0.01948052,
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.32,,,,,1.99095,0.22,0.909091,660,663,0.0678733,0.01809955
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",210.34,15.024285714286,actions:offsite_conversion.fb_pixel_purchase,14,3.967862,3.802791,0.360789,1.414662,39232,55312,0.08354426,0.0297223
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.37,,,,,2.256098,0.185,1.219512,164,164,0.09146341,0.01219512
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.08,,,,,2.727273,0.36,0.506329,395,396,0.07323232,0.01515152
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.88,,,,,2.473684,0.268571,0.923483,758,760,0.06052632,0.02105263
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",154.25,30.85,actions:offsite_conversion.fb_pixel_purchase,5,1.555138,2.51152,0.19427,1.387124,55871,61417,0.093606,0.03036619
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",13.99,,,,,3.221276,0.205735,1.674052,4062,4343,0.10568731,0.03085425
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",46.8,46.8,actions:offsite_conversion.fb_pixel_purchase,1,2.178846,2.955292,0.371429,0.833613,14875,15836,0.0621369,0.01957565
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",300.16,21.44,actions:offsite_conversion.fb_pixel_purchase,14,3.167111,3.543091,0.312993,1.168109,81328,84717,0.08477637,0.02742071
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.18,,,,,2.432432,0.09,2.702703,74,74,0.09459459,0.04054054
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.18,,,,,4.037037,0.2725,1.512287,529,540,0.23518519,0.02222222
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.03,,,,,3.580247,0.338333,1.104972,543,567,0.22222222,0.01763668
